Workcentre,FMZ,Grade,Extreme,High,Low,Moderate,Very_High
RSH,BMZ,B,12.00650953243766,39.694913978762955,0.0,270.3385410118548,0.0
RSH,BMZ,C,0.0,6.709638442979606,0.0,30.77053816614434,0.0
RSH,BMZ,E,32.20209389461971,101.68926681416316,0.0,124.26083334834006,0.005069016905759964
STA,APZ,A,257.7716179015446,0.6046625190856264,0.0,36.460313292465244,0.0
STA,APZ,B,6.312184550597578,16.4674487385469,0.0,57.155673119209624,17.83169889910294
STA,APZ,C,0.1542055251641972,3.4489959979912275,0.0,0.0,0.0
STA,APZ,D,0.0,3.657292690344392,0.0,0.6903274747980337,0.0
STA,APZ,E,33.4382558845041,8.9045472549895,0.0,3.439723844207486,0.1697631790946391
STA,BMZ,A,402.3985363591284,220.92295974069447,0.0,115.74380679938274,0.0
STA,BMZ,B,1400.101376753745,111.57636995786937,0.0033240947355509896,583.5765573056848,6.20179400391141
STA,BMZ,C,1675.4072403512084,318.3708528142344,15.718461694474946,132.3778035136343,0.0
STA,BMZ,D,94.60156332741941,31.292504825471834,0.053754079135547764,1.815628407489398,0.05925206780965888
STA,BMZ,E,121.21473264049251,71.27827117466022,0.4947764466371577,31.12631153427498,0.33085309387299555
